h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorptance
1.79000e+00,5.02625e-01,9.99935e-01,6.52792e-07,6.43474e-05
1.79000e+00,5.02800e-01,9.99939e-01,5.77244e-07,6.03054e-05
1.79000e+00,5.02975e-01,9.99943e-01,5.18915e-07,5.65408e-05
1.79000e+00,5.03150e-01,9.99947e-01,4.71026e-07,5.29384e-05
1.79000e+00,5.03325e-01,9.99950e-01,4.29945e-07,4.94974e-05
1.79000e+00,5.03500e-01,9.99953e-01,3.93515e-07,4.63148e-05
1.79000e+00,5.03675e-01,9.99956e-01,3.61608e-07,4.36760e-05
1.79000e+00,5.03850e-01,9.99957e-01,3.41606e-07,4.24690e-05
1.79000e+00,5.04025e-01,9.99954e-01,3.76827e-07,4.60373e-05
1.79000e+00,5.04200e-01,9.99931e-01,6.91160e-07,6.84172e-05
1.79000e+00,5.04375e-01,9.99876e-01,1.61040e-06,1.22216e-04
1.79000e+00,5.04550e-01,9.99886e-01,1.56952e-06,1.12252e-04
1.79000e+00,5.04725e-01,9.99911e-01,1.16193e-06,8.81489e-05
1.79000e+00,5.04900e-01,9.99922e-01,9.18525e-07,7.73378e-05
1.79000e+00,5.05075e-01,9.99925e-01,7.70287e-07,7.38120e-05
1.79000e+00,5.05250e-01,9.99925e-01,6.68632e-07,7.42123e-05
1.79000e+00,5.05425e-01,9.99922e-01,5.92776e-07,7.70439e-05
1.79000e+00,5.05600e-01,9.99918e-01,5.33804e-07,8.15013e-05
1.79000e+00,5.05775e-01,9.99912e-01,4.87791e-07,8.70240e-05
1.79000e+00,5.05950e-01,9.99906e-01,4.52876e-07,9.31329e-05
1.79000e+00,5.06125e-01,9.99900e-01,4.27899e-07,9.93800e-05
1.79000e+00,5.06300e-01,9.99894e-01,4.11745e-07,1.05354e-04
1.79000e+00,5.06475e-01,9.99889e-01,4.03110e-07,1.10720e-04
1.79000e+00,5.06650e-01,9.99884e-01,4.00555e-07,1.15266e-04
1.79000e+00,5.06825e-01,9.99881e-01,4.02818e-07,1.18971e-04
1.79000e+00,5.07000e-01,9.99878e-01,4.09137e-07,1.22028e-04
1.79000e+00,5.07175e-01,9.99875e-01,4.19757e-07,1.24909e-04
1.79000e+00,5.07350e-01,9.99871e-01,4.36689e-07,1.28499e-04
1.79000e+00,5.07525e-01,9.99865e-01,4.65589e-07,1.34505e-04
1.79000e+00,5.07700e-01,9.99853e-01,5.21767e-07,1.46781e-04
1.79000e+00,5.07875e-01,9.99823e-01,6.55566e-07,1.76752e-04
1.79000e+00,5.08050e-01,9.99722e-01,1.12257e-06,2.76693e-04
1.79000e+00,5.08225e-01,9.98787e-01,6.09669e-06,1.20658e-03
1.79000e+00,5.08400e-01,9.98428e-01,1.18707e-05,1.56006e-03
1.79000e+00,5.08575e-01,9.99832e-01,1.88651e-06,1.66377e-04
1.79000e+00,5.08750e-01,9.99902e-01,1.49797e-06,9.64288e-05
1.79000e+00,5.08925e-01,9.99905e-01,2.05119e-06,9.28763e-05
1.79000e+00,5.09100e-01,9.99867e-01,4.30656e-06,1.28476e-04
1.79000e+00,5.09275e-01,9.99621e-01,1.82846e-05,3.61139e-04
1.79000e+00,5.09450e-01,8.58697e-01,8.78431e-03,1.32519e-01
1.79000e+00,5.09625e-01,9.99711e-01,1.82286e-05,2.70476e-04
1.79000e+00,5.09800e-01,9.99899e-01,5.26881e-06,9.58041e-05
1.79000e+00,5.09975e-01,9.99931e-01,2.64916e-06,6.59638e-05
1.79000e+00,5.10150e-01,9.99939e-01,1.69156e-06,5.93789e-05
1.79000e+00,5.10325e-01,9.99938e-01,1.25488e-06,6.08200e-05
1.79000e+00,5.10500e-01,9.99932e-01,1.05596e-06,6.65591e-05
1.79000e+00,5.10675e-01,9.99924e-01,1.01467e-06,7.53211e-05
1.79000e+00,5.10850e-01,9.99912e-01,1.14311e-06,8.66996e-05
1.79000e+00,5.11025e-01,9.99897e-01,1.57697e-06,1.01293e-04
1.79000e+00,5.11200e-01,9.99874e-01,2.86739e-06,1.23115e-04
1.79000e+00,5.11375e-01,9.99816e-01,8.24268e-06,1.76060e-04
1.79000e+00,5.11550e-01,9.99160e-01,9.37720e-05,7.46487e-04
1.79000e+00,5.11725e-01,9.97543e-01,3.07075e-05,2.42667e-03
1.79000e+00,5.11900e-01,9.99614e-01,6.54564e-06,3.79500e-04
1.79000e+00,5.12075e-01,9.99782e-01,2.99170e-06,2.15468e-04
1.79000e+00,5.12250e-01,9.99826e-01,1.77282e-06,1.71744e-04
1.79000e+00,5.12425e-01,9.99848e-01,1.20955e-06,1.50704e-04
1.79000e+00,5.12600e-01,9.99863e-01,8.99042e-07,1.36560e-04
1.79000e+00,5.12775e-01,9.99874e-01,7.07635e-07,1.25110e-04
1.79000e+00,5.12950e-01,9.99884e-01,5.80603e-07,1.14933e-04
1.79000e+00,5.13125e-01,9.99894e-01,4.91880e-07,1.05439e-04
1.79000e+00,5.13300e-01,9.99903e-01,4.27823e-07,9.63764e-05
1.79000e+00,5.13475e-01,9.99912e-01,3.80656e-07,8.76218e-05
1.79000e+00,5.13650e-01,9.99921e-01,3.45706e-07,7.91248e-05
1.79000e+00,5.13825e-01,9.99929e-01,3.20028e-07,7.08824e-05
1.79000e+00,5.14000e-01,9.99937e-01,3.01650e-07,6.29307e-05
1.79500e+00,5.00000e-01,9.99651e-01,8.19376e-05,2.66593e-04
1.79500e+00,5.00175e-01,9.99390e-01,6.01795e-05,5.49640e-04
1.79500e+00,5.00350e-01,9.89133e-01,1.43510e-04,1.07231e-02
1.79500e+00,5.00525e-01,9.98913e-01,5.34847e-06,1.08138e-03
1.79500e+00,5.00700e-01,9.99736e-01,8.20224e-06,2.55965e-04
