h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorptance
1.79500e+00,5.03500e-01,9.42862e-01,4.46770e-06,5.71338e-02
1.79500e+00,5.03675e-01,9.41365e-01,6.16675e-06,5.86293e-02
1.79500e+00,5.03850e-01,9.39828e-01,8.69340e-06,6.01636e-02
1.79500e+00,5.04025e-01,9.38203e-01,1.27186e-05,6.17842e-02
1.79500e+00,5.04200e-01,9.36298e-01,1.99435e-05,6.36819e-02
1.79500e+00,5.04375e-01,9.33519e-01,3.58393e-05,6.64451e-02
1.79500e+00,5.04550e-01,9.27386e-01,8.75984e-05,7.25261e-02
1.79500e+00,5.04725e-01,8.88860e-01,5.60065e-04,1.10580e-01
1.79500e+00,5.04900e-01,9.46961e-01,4.79371e-04,5.25597e-02
1.79500e+00,5.05075e-01,9.46716e-01,4.73584e-05,5.32367e-02
1.79500e+00,5.05250e-01,9.44506e-01,1.28900e-05,5.54812e-02
1.79500e+00,5.05425e-01,9.43409e-01,4.63458e-06,5.65863e-02
1.79500e+00,5.05600e-01,9.42867e-01,1.84004e-06,5.71313e-02
1.79500e+00,5.05775e-01,9.42645e-01,7.58092e-07,5.73538e-02
1.79500e+00,5.05950e-01,9.42639e-01,3.36049e-07,5.73602e-02
1.79500e+00,5.06125e-01,9.42797e-01,1.99508e-07,5.72024e-02
1.79500e+00,5.06300e-01,9.43095e-01,1.98611e-07,5.69051e-02
1.79500e+00,5.06475e-01,9.43523e-01,2.78814e-07,5.64769e-02
1.79500e+00,5.06650e-01,9.44083e-01,4.49734e-07,5.59168e-02
1.79500e+00,5.06825e-01,9.44779e-01,8.25457e-07,5.52197e-02
1.79500e+00,5.07000e-01,9.45601e-01,1.90866e-06,5.43972e-02
1.79500e+00,5.07175e-01,9.46379e-01,7.16240e-06,5.36135e-02
1.79500e+00,5.07350e-01,9.40893e-01,2.01252e-04,5.89057e-02
1.79500e+00,5.07525e-01,9.50976e-01,3.35621e-05,4.89907e-02
1.79500e+00,5.07700e-01,9.53022e-01,8.39468e-06,4.69695e-02
1.79500e+00,5.07875e-01,9.55326e-01,5.11083e-06,4.46689e-02
1.79500e+00,5.08050e-01,9.57675e-01,4.56911e-06,4.23202e-02
