h_fib,lda0,Reflectance_port_1,Transmittance_port_2,Absorvance
1.79000e+00,5.02800e-01,9.99935e-01,8.26259e-07,6.39964e-05
1.79000e+00,5.02975e-01,9.99939e-01,7.33481e-07,6.03114e-05
1.79000e+00,5.03150e-01,9.99942e-01,6.58461e-07,5.70896e-05
1.79000e+00,5.03325e-01,9.99945e-01,5.93160e-07,5.41402e-05
1.79000e+00,5.03500e-01,9.99948e-01,5.33079e-07,5.14064e-05
1.79000e+00,5.03675e-01,9.99951e-01,4.75107e-07,4.89660e-05
1.79000e+00,5.03850e-01,9.99952e-01,4.17278e-07,4.71722e-05
1.79000e+00,5.04025e-01,9.99952e-01,3.62327e-07,4.72364e-05
1.79000e+00,5.04200e-01,9.99946e-01,3.41671e-07,5.37478e-05
1.79000e+00,5.04375e-01,9.99916e-01,5.49371e-07,8.33950e-05
1.79000e+00,5.04550e-01,9.99871e-01,1.19863e-06,1.27844e-04
1.79000e+00,5.04725e-01,9.99892e-01,1.22111e-06,1.06977e-04
1.79000e+00,5.04900e-01,9.99914e-01,1.01004e-06,8.45125e-05
1.79000e+00,5.05075e-01,9.99925e-01,8.66205e-07,7.40429e-05
1.79000e+00,5.05250e-01,9.99929e-01,7.72361e-07,6.99755e-05
1.79000e+00,5.05425e-01,9.99930e-01,7.05143e-07,6.95529e-05
1.79000e+00,5.05600e-01,9.99928e-01,6.52349e-07,7.15875e-05
1.79000e+00,5.05775e-01,9.99924e-01,6.08091e-07,7.54694e-05
1.79000e+00,5.05950e-01,9.99919e-01,5.69841e-07,8.07805e-05
1.79000e+00,5.06125e-01,9.99912e-01,5.36912e-07,8.71461e-05
1.79000e+00,5.06300e-01,9.99905e-01,5.09539e-07,9.41870e-05
1.79000e+00,5.06475e-01,9.99898e-01,4.88269e-07,1.01522e-04
1.79000e+00,5.06650e-01,9.99891e-01,4.73583e-07,1.08796e-04
1.79000e+00,5.06825e-01,9.99884e-01,4.65733e-07,1.15725e-04
1.79000e+00,5.07000e-01,9.99877e-01,4.64738e-07,1.22148e-04
1.79000e+00,5.07175e-01,9.99871e-01,4.70565e-07,1.28094e-04
1.79000e+00,5.07350e-01,9.99866e-01,4.83529e-07,1.33900e-04
1.79000e+00,5.07525e-01,9.99859e-01,5.05264e-07,1.40446e-04
1.79000e+00,5.07700e-01,9.99850e-01,5.41246e-07,1.49764e-04
1.79000e+00,5.07875e-01,9.99833e-01,6.08943e-07,1.66889e-04
1.79000e+00,5.08050e-01,9.99792e-01,7.74160e-07,2.07653e-04
1.79000e+00,5.08225e-01,9.99646e-01,1.43101e-06,3.52819e-04
1.79000e+00,5.08400e-01,9.97630e-01,1.30135e-05,2.35683e-03
1.79000e+00,5.08575e-01,9.99027e-01,9.48699e-06,9.63387e-04
1.79000e+00,5.08750e-01,9.99832e-01,2.58376e-06,1.65908e-04
1.79000e+00,5.08925e-01,9.99889e-01,2.24745e-06,1.09116e-04
1.79000e+00,5.09100e-01,9.99883e-01,3.04380e-06,1.13475e-04
1.79000e+00,5.09275e-01,9.99822e-01,6.19310e-06,1.71815e-04
1.79000e+00,5.09450e-01,9.99388e-01,2.78974e-05,5.84393e-04
1.79000e+00,5.09625e-01,9.87451e-01,6.70686e-04,1.18781e-02
1.79000e+00,5.09800e-01,9.99724e-01,1.44805e-05,2.61191e-04
1.79000e+00,5.09975e-01,9.99899e-01,4.47914e-06,9.66048e-05
1.79000e+00,5.10150e-01,9.99933e-01,2.29025e-06,6.42439e-05
1.79000e+00,5.10325e-01,9.99943e-01,1.48017e-06,5.53859e-05
1.79000e+00,5.10500e-01,9.99944e-01,1.11362e-06,5.49003e-05
1.79000e+00,5.10675e-01,9.99940e-01,9.54219e-07,5.91351e-05
1.79000e+00,5.10850e-01,9.99932e-01,9.41569e-07,6.71082e-05
1.79000e+00,5.11025e-01,9.99920e-01,1.10757e-06,7.89729e-05
1.79000e+00,5.11200e-01,9.99902e-01,1.63918e-06,9.64974e-05
1.79000e+00,5.11375e-01,9.99869e-01,3.33288e-06,1.27364e-04
1.79000e+00,5.11550e-01,9.99770e-01,1.17679e-05,2.18575e-04
1.79000e+00,5.11725e-01,9.96835e-01,3.69460e-04,2.79595e-03
1.79000e+00,5.11900e-01,9.98476e-01,2.02577e-05,1.50373e-03
1.79000e+00,5.12075e-01,9.99656e-01,6.07038e-06,3.38032e-04
1.79000e+00,5.12250e-01,9.99784e-01,3.13134e-06,2.13229e-04
